scenario,region,variables,unit,2022,2025,2030,2035,2040,2045,2050
SPS,CHA,Production|Copper|Leaching,ton,62.13,65.56,76.02,76.84,79.87,83.19,81.45
SPS,EUR,Production|Copper|Leaching,ton,54.43,57.43,66.6,67.31,69.97,72.87,71.35
SPS,IND,Production|Copper|Leaching,ton,0,0,0,0,0,0,0
SPS,JPN,Production|Copper|Leaching,ton,0,0,0,0,0,0,0
SPS,LAM,Production|Copper|Leaching,ton,2040.93,2153.51,2497.18,2524.05,2623.59,2732.51,2675.3
SPS,MEA,Production|Copper|Leaching,ton,18.29,19.3,22.38,22.62,23.52,24.49,23.98
SPS,NEU,Production|Copper|Leaching,ton,0.8,0.85,0.98,0.99,1.03,1.07,1.05
SPS,OAS,Production|Copper|Leaching,ton,282.93,298.54,346.18,349.91,363.71,378.81,370.87
SPS,REF,Production|Copper|Leaching,ton,45.51,48.02,55.69,56.29,58.51,60.94,59.66
SPS,SSA,Production|Copper|Leaching,ton,1364.64,1439.92,1669.71,1687.68,1754.24,1827.07,1788.81
SPS,USA,Production|Copper|Leaching,ton,587.87,620.3,719.29,727.03,755.7,787.08,770.6
SPS,CAZ,Production|Copper|Secondary,ton,124.32,125.42,138.82,153.75,174.11,228.16,272.66
SPS,CHA,Production|Copper|Secondary,ton,1727.8,1742.97,1929.25,2136.8,2419.73,3170.85,3789.26
SPS,EUR,Production|Copper|Secondary,ton,441.9,445.78,493.42,546.5,618.87,810.97,969.13
SPS,IND,Production|Copper|Secondary,ton,1.59,1.61,1.78,1.97,2.23,2.92,3.49
SPS,JPN,Production|Copper|Secondary,ton,272.61,275.01,304.4,337.15,381.79,500.3,597.87
SPS,LAM,Production|Copper|Secondary,ton,52.53,52.99,58.66,64.97,73.57,96.4,115.21
SPS,MEA,Production|Copper|Secondary,ton,271.81,274.2,303.5,336.15,380.66,498.82,596.11
SPS,NEU,Production|Copper|Secondary,ton,25,25.22,27.91,30.92,35.01,45.88,54.83
SPS,OAS,Production|Copper|Secondary,ton,154.73,156.09,172.77,191.35,216.69,283.96,339.34
SPS,REF,Production|Copper|Secondary,ton,195.8,197.52,218.63,242.15,274.21,359.33,429.41
SPS,SSA,Production|Copper|Secondary,ton,11.81,11.91,13.19,14.61,16.54,21.67,25.9
SPS,USA,Production|Copper|Secondary,ton,35.34,35.65,39.46,43.7,49.49,64.85,77.5
SPS,World,Production|Nickel|Secondary,ton,0.012,0.014,0.015,0.045,0.08,0.16,0.25
SPS,World,Production|Nickel|Materials,ton,0.139,0.138,0.138,0.134,0.129,0.118,0.105
SPS,World,Production|Nickel|PGM,ton,0.189,0.189,0.189,0.183,0.176,0.161,0.144
SPS,World,Production|Nickel|Smelting16,ton,0.16,0.16,0.16,0.155,0.149,0.136,0.122
SPS,World,Production|Nickel|Smelting7,ton,0.166,0.166,0.166,0.161,0.155,0.141,0.126
SPS,World,Production|Nickel|Cobalt,ton,0.334,0.333,0.333,0.322,0.311,0.284,0.253
SPS,World,Production|Cobalt|Primary,ton,0.92,0.93,0.93,0.9,0.84,0.78,0.73
SPS,World,Production|Cobalt|Secondary,ton,0.08,0.07,0.07,0.1,0.16,0.22,0.27
SPS,World,Production|Lithium|Primary,ton,0.988,0.986,0.985,0.955,0.916,0.8,0.66
SPS,World,Production|Lithium|Secondary,ton,0.012,0.014,0.015,0.045,0.084,0.2,0.34
